actor,gwcode,gwname,gw_wrong,qcode,trash_actor,notes
Abkhazia,,,,Q23334,,
Abu Nidal Organization,,,,Q1638579,,
Afghanistan,700,AFG,,Q889,,
African and Malagasy Union,580,MAG,1,Q388001,,
African National Congress,,,,Q83162,,
African Party for the Independence of Guinea and Cape Verde,,,,Q776352,,
African Union,,,,Q7159,,
"African, Caribbean and Pacific Group of States",,,,Q294278,,
Al-Qaeda,,,,Q34490,,
Åland Islands,,,,Q5689,,
Albania,339,ALB,,Q222,,
Algeria,615,ALG,,Q262,,
Algiers,,,,Q3561,,Possibly wrong. Refers to capital of Algeria
All-African Peoples' Conference,,,,Q2748707,,
Alliance of Democratic Forces for the Liberation of Congo,490,DRC,1,Q2367261,,I wouldn’t code this DR Congo/Congo-Kinshasa.
Allies of World War I,,,,Q215669,,
Allies of World War II,,,,Q329888,,
Angola,540,ANG,,Q916,,
Antigua,,,,Q781,,
Anyanya,,,,Q613768,,
Arab Deterrent Force,,,,Q2293745,,
Arab Federation,,,,Q146713,,
Arab League,,,,Q7172,,
Arab states,,,,,1,"In crisis 120, refers to Egypt, Iraq, Jordan, Lebanon, and Syria"
Argentina,160,ARG,,Q414,,
Armed Forces of National Liberation (Venezuela),101,VEN,1,Q4993778,,possible ccode error
Armed Forces of the North,,,,Q3076955,,
Armenia,371,ARM,,Q399,,
Army of the Republic of Vietnam,817,RVN,,Q18917,,
Association of Southeast Asian Nations,,,,Q7768,,
Australia,900,AUL,,Q408,,
Austria,305,AUS,,Q40,,
Austria-Hungary,305,AUS,,Q28513,,
Autonomous Region of Bougainville,,,,Q18826,,
Axis powers,,,,Q43056,,
Azad Kashmir Regular Force,,,,Q25226984,,
Azerbaijan,373,AZE,,Q227,,
Azerbaijani Democratic Party,373,AZE,1,Q12551769,,
Baghdad Pact,,,,Q379850,,
Bahrain,692,BAH,,Q398,,
Bangladesh,771,BNG,,Q902,,
Banyamulenge,,,,Q134469,,
Barbados,53,BAR,,Q244,,
Belgium,211,BEL,,Q31,,
Belize,80,BLZ,,Q242,,
Benin,434,BEN,,Q962,,
Bessarabia,359,MLD,,Q174994,,possible ccode error
Bolivia,145,BOL,,Q750,,
Bolsheviks,,,,Q83372,,
Bosnia and Herzegovina,346,BOS,,Q225,,
Bosniaks,346,BOS,1,Q940348,,
Botswana,571,BOT,,Q963,,
BP,,,,Q152057,,
Brazil,140,BRA,,Q155,,
British Borneo,,,,Q1997277,,
British Guiana,110,GUY,,Q918126,,
British Malaya,,,,Q871091,,
British Somaliland,,,,Q662653,,
British Togoland,461,TOG,1,Q797527,,"Would probably code this as Ghana, would not code it as Togo. Briefly, Togoland was a German colony that was stripped from Germany after WW1, was split between French (most of it went to france) and British as UN trustees. Britain effectively governed their portion as an extension of Ghana and eventually combined British Togoland with Ghana, France treated their Togoland as a distinct unit."
Brunei,835,BRU,,Q921,,
Bulgaria,355,BUL,,Q219,,
Burkina Faso,439,BFO,,Q965,,
Burundi,516,BUI,,Q967,,
Cambodia,811,CAM,,Q424,,
Cameroon,471,CAO,,Q1009,,
Canada,20,CAN,,Q16,,
Caribbean Community,,,,Q205995,,
Caribbean Legion,,,,Q1572665,,
Carpathian Ruthenia,,,,Q1148511,,
Catholic Church,,,,Q9592,,
Central African Republic,482,CEN,,Q929,,
Central Powers,,,,Q152283,,
Chad,483,CHA,,Q657,,
Chile,155,CHL,,Q298,,
China,710,CHN,,Q148,,
Coalition Government of Democratic Kampuchea,811,CAM,,Q2785731,,possible ccode error
Coalition of the Gulf War,,,,Q4115894,,
Colombia,100,COL,,Q739,,
Cominform,,,,Q183533,,
Commission on Security and Cooperation in Europe,,,,Q5152740,,
Commonwealth Heads of Government Meeting,,,,Q3458201,,
Commonwealth of Independent States,,,,Q7779,,
Commonwealth of Nations,,,,Q7785,,
Communist Party of China,710,CHN,,Q17427,,
Communist Party of Czechoslovakia,315,CZE,1,Q727724,,possible ccode error
Communist Party of Greece,350,GRC,1,Q192406,,possible ccode error
Communist Party of Thailand,800,THI,,Q1359816,,possible ccode error
Community of Sahel–Saharan States,,,,Q605883,,
Congolese National Liberation Front,484,CON,1,Q3088524,,"Rebel group, so long as it is before 1990 pretty unambiguously not a part of the government. Later than 1990 more ambiguous but probably should be considered as distinct from government. Also it is in Zaire/DR Congo, not R of Congo/Congo-Brazzaville."
Contras,,,,Q286810,,
Costa Rica,94,COS,,Q800,,
Council of Europe,,,,Q8908,,
Croatia,344,CRO,,Q224,,
Croats of Bosnia and Herzegovina,346,BOS,,Q1431089,,
Cuba,40,CUB,,Q241,,
Cyprus,352,CYP,,Q229,,
Czech Republic,316,CZR,,Q213,,
Czechoslovakia,315,CZE,,Q33946,,
Daedong Credit Bank,,,,Q25063977,,
Delta Asia Financial Group,,,,Q698036,,
Democratic Army of Greece,350,GRC,,Q1186143,,
Democratic Republic of the Congo,490,DRC,,Q974,,
Denmark,390,DEN,,Q35,,
Djibouti,522,DJI,,Q977,,
Dogra dynasty,,,,Q2020076,,
Dominica,,,,Q784,,
Dominican Republic,42,DOM,,Q786,,
Dominion,,,,Q223832,,
Donetsk People's Republic,,,,Q16150196,,
East African Community,,,,Q337456,,
East Germany,265,GDR,,Q16957,,
East Timor,860,ETM,,Q574,,
Eastern Bloc,,,,Q170541,,
Eastern Europe,,,,Q27468,,
Economic Community of West African States,,,,Q193272,,
